grid_id,district_name,base_year,target_year,year,risk_state,prediction_scope,rvri,mismatch_gap,delta_rvri,delta_mismatch_gap,spatial_lag_rvri,neighbor_high_ratio,neighbor_env_level,lisa_type,is_edge_zone,neighbor_count,pred_probability,prob_rank_pct,top_decile_flag
G_075825,南雄市,2023,2024,2023,1,non_high_to_high,0.4255152872959969,0.7315116016883435,-0.0241782296807602,0.1342953381487671,0.4415880647042133,0.5,low,NS,0,6,0.48290025998483616,0.9885436283741369,1
G_036778,翁源县,2023,2024,2023,1,non_high_to_high,0.4140917399620133,-3.012763602811922,-0.0265475177557794,0.4701382590537544,0.5097946720078318,1.0,high,NS,0,8,0.48093456305436477,0.9883866917765223,1
G_001102,边缘争议区,2023,2024,2023,1,non_high_to_high,0.4341239929741876,0.741557077516722,-0.0991818335418751,-0.742817950723925,0.4480897942735965,0.75,low,NS,0,4,0.48082208635054796,0.9882297551789078,1
G_055018,翁源县,2023,2024,2023,1,non_high_to_high,0.4177329727040407,-6.602918264442026,-0.1185992143868889,-3.5106478171403825,0.4392063103654977,0.375,low,LL,0,8,0.478889977828736,0.9880728185812931,1
G_029715,浈江区,2023,2024,2023,1,non_high_to_high,0.4308237368199543,-3.132725518463916,0.0289615776767572,2.7757646040773505,0.5264943590321371,1.0,high,NS,0,8,0.47816732041865523,0.9879158819836786,1
G_008925,乐昌市,2023,2024,2023,1,non_high_to_high,0.4308486591686566,-0.0052388377232368,-0.0199135927287127,0.1458161322055769,0.4331854641304709,0.625,low,LL,0,8,0.4777987291972076,0.987758945386064,1
G_067162,始兴县,2023,2024,2023,1,non_high_to_high,0.4266940659377039,0.767287193948787,-0.0895024282823238,-0.1025255733668049,0.4133691913476758,0.0,low,LL,0,5,0.47611157501163137,0.9876020087884495,1
G_054772,始兴县,2023,2024,2023,1,non_high_to_high,0.4330135742965261,0.7953594709199214,-0.045730196483828,0.0071197942365961,0.4533342676460071,0.7142857142857143,low,NS,0,7,0.47589366081945855,0.9874450721908349,1
G_063989,南雄市,2023,2024,2023,1,non_high_to_high,0.4359772178384632,0.4793892594416938,-0.0356932099559096,-0.1119358964412651,0.4487452674919436,0.625,low,LL,0,8,0.4756372597976543,0.9872881355932204,1
G_051347,始兴县,2023,2024,2023,1,non_high_to_high,0.4305494662233322,0.755514939468837,-0.0456682864879178,-0.1942835927391634,0.5109201772065608,1.0,high,NS,0,8,0.4750796402110985,0.9871311989956058,1
G_026781,浈江区,2023,2024,2023,1,non_high_to_high,0.4153327064141971,-6.8711974062720245,-0.0531082062170996,-0.4454268895250521,0.4624266772603834,0.7142857142857143,low,NS,0,7,0.4745527293195974,0.9869742623979912,1
G_075924,南雄市,2023,2024,2023,1,non_high_to_high,0.4304411540955076,0.6405448887179226,-0.0345280672482219,0.0190383827814429,0.4754996165538214,0.6,low,NS,0,5,0.4745443352479078,0.9868173258003766,1
G_027333,边缘争议区,2023,2024,2023,1,non_high_to_high,0.4330242988621924,0.8340105629248776,-0.0507224473551093,-0.2093427202877867,0.4058276201244852,0.2,low,LL,0,5,0.47383170969403293,0.9866603892027621,1
G_055514,始兴县,2023,2024,2023,1,non_high_to_high,0.4360375823299932,0.0578708928196557,-0.0200889188099518,-0.0639891081245421,0.5217394188250766,0.75,low,NS,0,8,0.47360824960423875,0.9865034526051475,1
G_052084,南雄市,2023,2024,2023,1,non_high_to_high,0.4271600369788476,0.7075782460481664,-0.0467224260531703,-0.2422783661943719,0.4203698771929574,0.0,low,NS,0,3,0.473194380158477,0.986346516007533,1
G_065086,翁源县,2023,2024,2023,1,non_high_to_high,0.4345729921221653,0.6760729648371815,-0.035899319574066,-0.023485395089094,0.5249133075753932,0.875,mid,NS,0,8,0.473068071807754,0.9861895794099184,1
G_053481,南雄市,2023,2024,2023,1,non_high_to_high,0.4259332628135993,0.6236203675326705,-0.0344747157712028,-0.1906928347740841,0.4036567929446413,0.0,low,LL,0,7,0.4722529064207155,0.9860326428123039,1
G_007077,乳源瑶族自治县,2023,2024,2023,1,non_high_to_high,0.4295623121405011,0.7608730250615032,-0.1052905702282793,-0.5920768175961475,0.4933427636584632,0.8571428571428571,mid,NS,0,7,0.47151358406411364,0.9858757062146892,1
G_052083,南雄市,2023,2024,2023,1,non_high_to_high,0.4271772175625812,0.7023090804003027,-0.0406425343708914,-0.1419048327847699,0.4203641503317128,0.0,low,LL,0,3,0.46934188425280393,0.9857187696170747,1
G_055017,翁源县,2023,2024,2023,1,non_high_to_high,0.4327822011262832,-3.636639688787712,-0.0060626056937507,0.3452796110020308,0.4751636616975114,0.625,low,NS,0,8,0.4686190514433038,0.9855618330194601,1
G_065785,始兴县,2023,2024,2023,1,non_high_to_high,0.430881416590812,0.8368629285990471,-0.0293847601838929,0.1700641118858001,0.4776209992610157,0.8333333333333334,mid,NS,0,6,0.46719013783169544,0.9854048964218456,1
G_070477,始兴县,2023,2024,2023,1,non_high_to_high,0.4356019562343654,0.8757046668230619,-0.0299641335941819,0.3759690684926312,0.423055207338295,0.25,low,NS,0,4,0.46670817384024305,0.985247959824231,1
G_077256,南雄市,2023,2024,2023,1,non_high_to_high,0.4361050304520865,0.494283843446208,-0.0415674375310926,-0.1623617695927242,0.4960176014516663,0.6666666666666666,low,NS,0,6,0.46669492690224146,0.9850910232266165,1
G_060604,新丰县,2023,2024,2023,1,non_high_to_high,0.4303990507546306,-1.6951471495880583,-0.0627808228577899,-0.6079631716831084,0.4613077306739389,0.7142857142857143,low,NS,0,7,0.4659161848773009,0.9849340866290018,1
G_069738,南雄市,2023,2024,2023,1,non_high_to_high,0.4237002875533744,0.6959841155486387,-0.0362025143629894,-0.1089451472398913,0.4304675068224916,0.2,low,NS,0,5,0.4636198763310103,0.9847771500313873,1
G_077457,南雄市,2023,2024,2023,1,non_high_to_high,0.4360667685193398,0.684774340303054,-0.0154023786543773,0.0837444696469258,0.456180237352894,0.6666666666666666,low,NS,0,3,0.4629704300301266,0.9846202134337727,1
G_075896,南雄市,2023,2024,2023,1,non_high_to_high,0.4353993709279475,0.7082727539552427,-0.0267204260153413,0.0119738120938734,0.4172958030693419,0.0,low,NS,0,1,0.462193794113492,0.9844632768361582,1
G_070238,南雄市,2023,2024,2023,1,non_high_to_high,0.4291770620378297,0.6146597108161984,-0.0398906521484339,-0.1204251657744214,0.4464054731951997,0.4,low,NS,0,5,0.4616208740845337,0.9843063402385436,1
G_037692,翁源县,2023,2024,2023,1,non_high_to_high,0.4285498535909642,0.0263206627857425,-0.0293411572515003,0.1803411684676412,0.4563340015681301,0.8571428571428571,mid,NS,0,7,0.46150809174556795,0.9841494036409291,1
G_021932,乐昌市,2023,2024,2023,1,non_high_to_high,0.4169049706482834,-1.1773407259290474,-0.1033469526800806,-1.0367820658363915,0.5238776235211071,0.875,mid,NS,0,8,0.459227471292133,0.9839924670433144,1
G_073726,南雄市,2023,2024,2023,1,non_high_to_high,0.4293269335038394,0.6095353398083991,-0.0604771020269627,-0.225706861809431,0.4342177733546897,0.3333333333333333,low,NS,0,3,0.45919488540651754,0.9838355304456999,1
G_008710,乐昌市,2023,2024,2023,1,non_high_to_high,0.434525056718157,0.8785418782175977,-0.0489893005352192,-0.2731774564805883,0.4325131668145234,0.4285714285714285,low,LL,0,7,0.45799692906792794,0.9836785938480854,1
G_050650,始兴县,2023,2024,2023,1,non_high_to_high,0.4299977094001779,0.7434872310658459,-0.0368339667137636,-0.0566439716729718,0.5141458599498735,1.0,high,NS,0,8,0.45778289474407124,0.9835216572504708,1
