grid_id,district_name,base_year,target_year,year,risk_state,rvri,mismatch_gap,delta_rvri,delta_mismatch_gap,spatial_lag_rvri,neighbor_high_ratio,neighbor_env_level,lisa_type,is_edge_zone,neighbor_count,pred_probability,prob_rank_pct,top_decile_flag
G_072159,南雄市,2023,2024,2023,0,0.2225728116568181,-11.875989380131417,-0.1432603086612353,-3.3395068561061425,0.478723937672332,0.7142857142857143,low,LL,0,7,0.09465793315223002,0.6648351648351649,0
G_059644,新丰县,2023,2024,2023,0,0.1983465228783299,-14.505589109656706,-0.0849361163507008,0.2037874696846824,0.2258629728870188,0.125,low,LL,0,8,0.09462676140011633,0.6593406593406593,0
G_056410,翁源县,2023,2024,2023,0,0.2380944485755054,-12.612166098584364,-0.0432336019001589,1.3176343565271047,0.3071844750435326,0.3333333333333333,low,LL,0,6,0.09415850951208868,0.6538461538461539,0
G_026565,曲江区,2023,2024,2023,0,0.3155857184955583,-6.1464320517754825,-0.0613139025248711,0.0904252326841135,0.4523774407254559,0.5,low,LL,0,8,0.09371897870714274,0.6483516483516483,0
G_017882,乳源瑶族自治县,2023,2024,2023,0,0.3196101512164849,-5.313005895192026,-0.0890626848423072,-1.473312679691321,0.4400458176818821,0.4285714285714285,low,LL,0,7,0.09364905170445341,0.6428571428571428,0
G_059322,新丰县,2023,2024,2023,0,0.1097393221754002,-17.31588738974303,-0.1309146678680408,-0.8104466703956739,0.3177631286623971,0.25,low,LL,0,8,0.0927368957535644,0.6373626373626373,0
G_028845,浈江区,2023,2024,2023,0,0.2621556946681433,-4.970944701572809,-0.069224592544372,0.000498168913217,0.3693861580810018,0.1666666666666666,low,LL,0,6,0.09206127211298006,0.6318681318681318,0
G_059963,新丰县,2023,2024,2023,0,0.2379935350315708,-9.007428054408908,-0.1605187226112081,-2.906990987271568,0.2928123744317416,0.0,low,LL,0,8,0.09109104753209103,0.6263736263736264,0
G_024183,武江区,2023,2024,2023,0,0.3064528374872918,-9.940344599065265,-0.05338353238589,1.108336050802512,0.3368009592001257,0.25,low,LL,0,8,0.09101770076818132,0.6208791208791209,0
G_027203,武江区,2023,2024,2023,0,0.3112001291362524,-9.83905034863547,-0.1189391439734073,-1.9844680727126445,0.2705382941345272,0.0,low,LL,0,8,0.08924844962104085,0.6153846153846154,0
G_025963,浈江区,2023,2024,2023,0,0.2888757641866527,-5.550660794334524,-0.0594294788311952,0.6805397147149854,0.3729471995624437,0.2,low,LL,0,5,0.08723157238840185,0.6098901098901099,0
G_059647,新丰县,2023,2024,2023,0,0.313489187172683,-5.665055114635704,-0.0397881570685645,0.7987558263694208,0.3358522499440917,0.0,low,LL,0,7,0.08620244706415338,0.6043956043956045,0
G_015513,乳源瑶族自治县,2023,2024,2023,0,0.3033413811658947,-2.520718677713376,-0.1046033566846366,-1.198312828569005,0.3977237127944974,0.375,low,LL,0,8,0.08434703900347472,0.5989010989010989,0
G_027172,曲江区,2023,2024,2023,0,0.1527140398782944,-12.33949221778335,-0.0791991913967452,0.8815019154302011,0.3091459593914701,0.0,low,LL,0,8,0.08417086036796144,0.5934065934065934,0
G_033020,仁化县,2023,2024,2023,0,0.217882914035821,-11.620167497286062,-0.1925706963176242,-4.011572051489162,0.4682727310606873,0.7142857142857143,low,LL,0,7,0.08328960036293016,0.5879120879120879,0
G_029464,曲江区,2023,2024,2023,0,0.2987945064280866,-7.8989450417154865,-0.0030498366226467,2.5829308559229416,0.3629036043184716,0.2857142857142857,low,LL,0,7,0.08281837401562955,0.5824175824175823,0
G_024976,武江区,2023,2024,2023,0,0.2636930053214731,-9.636711330057183,-0.0319474695438892,2.147428898024277,0.2951815432463866,0.0,low,LL,0,8,0.08250024211256653,0.5769230769230769,0
G_028015,浈江区,2023,2024,2023,0,0.2978939073549891,-6.649971709859052,-0.0445463973801378,0.919894615821608,0.3794339436764732,0.4,low,LL,0,5,0.08225926834916882,0.5714285714285714,0
G_023984,武江区,2023,2024,2023,0,0.3176745086572569,-4.193355131202308,-0.1253248353064695,-1.8304717800333443,0.5068839417946884,0.75,low,NS,0,8,0.08065582697564244,0.5659340659340659,0
G_027171,曲江区,2023,2024,2023,0,0.296197685612806,-6.98614221919917,-0.1328771491003603,-2.0569371388931907,0.2960159574450798,0.0,low,LL,0,7,0.07720616768666431,0.5604395604395604,0
G_028636,浈江区,2023,2024,2023,0,0.3036781964788695,-3.976869305827685,-0.0598329710226174,-0.8641448923676567,0.3493829896118472,0.0,low,LL,0,5,0.07663161952339838,0.554945054945055,0
G_027615,浈江区,2023,2024,2023,0,0.2520395520259295,-7.799910163885646,0.0,0.0,0.3930503842580531,0.5714285714285714,low,LL,0,7,0.0752505222569554,0.5494505494505495,0
G_026183,武江区,2023,2024,2023,0,0.2620223296944334,-9.58378505072888,-0.1246436190908493,-1.388879529716197,0.2926721625281508,0.0,low,LL,0,8,0.07517266957611753,0.543956043956044,0
G_029470,曲江区,2023,2024,2023,0,0.3060310724304187,-5.07144870144213,-0.0877475781018912,-0.0861312832899674,0.4508592433795647,0.625,low,LL,0,8,0.07439554853817089,0.5384615384615384,0
G_038002,翁源县,2023,2024,2023,0,0.3170437882593227,-3.000458603784618,-0.0228267585139249,1.309710125793523,0.4441729919566509,0.5714285714285714,low,LL,0,7,0.07390938668710594,0.532967032967033,0
G_027204,武江区,2023,2024,2023,0,0.3177705493140775,-7.539543990136601,-0.1062001937807876,-1.4199304475015824,0.3209161985578043,0.125,low,LL,0,8,0.07369118515457702,0.5274725274725275,0
G_024184,武江区,2023,2024,2023,0,0.2605041681683569,-11.602277483477971,-0.0616739497095262,0.845448417901169,0.2753125303498883,0.125,low,LL,0,8,0.07342087123965646,0.5219780219780219,0
G_027202,武江区,2023,2024,2023,0,0.2705115422321382,-11.934954605032978,-0.0951787282404711,-1.2411747163926776,0.2378477487866082,0.0,low,LL,0,8,0.07334659633270794,0.5164835164835164,0
G_028828,曲江区,2023,2024,2023,0,0.280945808514663,-3.933482825657274,-0.2349933200330219,-4.913959346244921,0.515810684850919,0.6666666666666666,low,NS,0,6,0.07251965837908958,0.510989010989011,0
G_027177,曲江区,2023,2024,2023,0,0.3149509099374037,-7.544718312371329,-0.095049593931124,-0.7189550829376969,0.4168111410071584,0.5714285714285714,low,LL,0,7,0.07022931956354625,0.5054945054945055,0
G_027176,曲江区,2023,2024,2023,0,0.2673433493874663,-7.282008973695501,-0.1537146042121024,-2.3766300874902804,0.3589434992856072,0.1428571428571428,low,LL,0,7,0.07000409712961174,0.5,0
G_026560,曲江区,2023,2024,2023,0,0.2273581050622057,-5.705211449075698,-0.1104141697834988,-1.4577340734784077,0.3770955853485029,0.0,low,LL,0,8,0.0696187105224947,0.4945054945054945,0
G_056752,翁源县,2023,2024,2023,0,0.2140754318211904,-13.179096045163892,-0.147450508616773,-2.5056626037103378,0.438710993427177,0.6,low,LL,0,5,0.06623491349254673,0.48901098901098905,0
G_024779,武江区,2023,2024,2023,0,0.2137795007308371,-10.416028025406026,-0.1117478887447479,0.1793639527697248,0.2777333601562782,0.0,low,LL,0,8,0.06513985456655444,0.48351648351648346,0
G_027406,武江区,2023,2024,2023,0,0.2390610592792212,-12.066606613104051,-0.1213772615229966,-2.034076327273916,0.255366963405215,0.0,low,LL,0,8,0.06485753927530731,0.478021978021978,0
G_059966,新丰县,2023,2024,2023,0,0.0359084099194632,-18.316319373937823,0.0359084099194632,6.432887647073041,0.2566407260192541,0.125,low,LL,0,8,0.06459136707963792,0.4725274725274725,0
G_024975,武江区,2023,2024,2023,0,0.3053588010036647,-8.621442614474367,-0.0872387791327722,-0.536563911558078,0.353968017890067,0.375,low,LL,0,8,0.06430084910786853,0.46703296703296704,0
G_027810,浈江区,2023,2024,2023,0,0.2881114163228565,-5.353309559692326,-0.2200354494045908,-6.1117600447047336,0.4167048703728577,0.6666666666666666,low,LL,0,6,0.06430006302097108,0.46153846153846156,0
G_027200,武江区,2023,2024,2023,0,0.2684751172391224,-13.05536660175546,-0.1214242658954628,-2.2634913025653685,0.247265379859171,0.0,low,LL,0,7,0.06209129510449753,0.4560439560439561,0
G_059962,新丰县,2023,2024,2023,0,0.3046734426420719,-5.149826258295686,-0.1012832984491894,-1.0550773640798656,0.2675862691299158,0.0,low,LL,0,7,0.06122708394594401,0.4505494505494505,0
G_059645,新丰县,2023,2024,2023,0,0.0098148768003623,-20.87279213555246,-0.1582154495257779,-0.940678551618447,0.1875547677996681,0.0,low,LL,0,8,0.06112241290439918,0.44505494505494503,0
G_061221,新丰县,2023,2024,2023,0,0.265178496142166,-4.608896817372088,-0.0759246999408813,0.2758847680607674,0.4337331146199823,0.5,low,LL,0,8,0.05961540796721726,0.43956043956043955,0
G_057350,新丰县,2023,2024,2023,0,0.2354002060157954,-7.492836982492975,-0.026126192368307,1.4924879600143868,0.4571635968134797,0.8,mid,LL,0,5,0.05848219672435138,0.4340659340659341,0
G_024582,武江区,2023,2024,2023,0,0.1768559893046106,-13.23261790485599,-0.1255332189840546,-0.0801304232700417,0.2713914598463757,0.125,low,LL,0,8,0.058196776632449924,0.4285714285714286,0
G_026593,武江区,2023,2024,2023,0,0.3138241470258326,-5.391103983234693,-0.065197586144209,0.1946896513412968,0.3322909200031847,0.125,low,LL,0,8,0.05805211365197366,0.42307692307692313,0
G_026979,浈江区,2023,2024,2023,0,0.1819937937170904,-6.376753119352112,-0.0561755335554043,1.467636096848449,0.4126849430658387,0.2,low,LL,0,5,0.05649716260736217,0.41758241758241754,0
G_024384,武江区,2023,2024,2023,0,0.2731677415676762,-9.181663387632604,-0.1441413426442799,-2.1598862737669293,0.2886991636330969,0.25,low,LL,0,8,0.05608439455560718,0.41208791208791207,0
G_026796,武江区,2023,2024,2023,0,0.2851347440482392,-9.429966804347078,-0.1545498608076206,-3.458392062084938,0.212670341281662,0.0,low,LL,0,8,0.05427744288989149,0.4065934065934066,0
G_024583,武江区,2023,2024,2023,0,0.2760254578051256,-7.139879895820577,-0.0928002171589199,-0.1351859415510752,0.3371910169869068,0.25,low,LL,0,8,0.05359552155573984,0.4010989010989011,0
G_015274,乳源瑶族自治县,2023,2024,2023,0,0.2434188889821448,-5.671898954645513,-0.1646809456678595,-3.5020810784787813,0.4454239508379963,0.75,low,LL,0,8,0.05341839827532396,0.39560439560439564,0
G_025174,武江区,2023,2024,2023,0,0.2593241252553979,-6.938129384817616,-0.0800026443127044,0.153416228700129,0.3095333987494695,0.0,low,LL,0,8,0.05312852611317226,0.39010989010989006,0
G_024581,武江区,2023,2024,2023,0,0.181082168132819,-11.190682919674622,-0.0767419273018182,1.695724293066819,0.2657318150024554,0.0,low,LL,0,8,0.053007330171968035,0.3846153846153846,0
G_027000,武江区,2023,2024,2023,0,0.2761033581602866,-8.189298319886213,-0.1104962697992947,-1.4784853436105443,0.2554341559185397,0.0,low,LL,0,8,0.052996401204969595,0.3791208791208791,0
G_026999,武江区,2023,2024,2023,0,0.1975608476266372,-13.471820466389495,-0.2107263520725751,-4.450270349586267,0.2140773314355535,0.0,low,LL,0,8,0.05286042533291524,0.37362637362637363,0
G_060283,新丰县,2023,2024,2023,0,0.1509997471930047,-8.125383476035443,-0.1956452595406252,-2.852520198064762,0.3323918807195722,0.125,low,LL,0,8,0.051390333702372275,0.36813186813186816,0
G_012924,乳源瑶族自治县,2023,2024,2023,0,0.190097589411268,-5.8535343212910815,-0.1109400622887767,-0.8401509539060017,0.4060978995224785,0.2857142857142857,low,LL,0,7,0.04971410586407362,0.3626373626373627,0
G_024982,武江区,2023,2024,2023,0,0.3188977158122537,-4.011113956572142,-0.0114507159214954,1.6145025439607883,0.3958501260096944,0.25,low,LL,0,8,0.04958019796898656,0.3571428571428571,0
G_026996,武江区,2023,2024,2023,0,0.2698779125212739,-11.61288521570584,-0.1103361814010223,-1.4516169480709298,0.2097411105128407,0.0,low,LL,0,7,0.04926098635176387,0.3516483516483516,0
